"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: encoding","Param: lookupPosition","Param: strType"
"org.github.arnaudroger.CharAtBenchmark.charAt","avgt",1,200,222.008433,1.041210,"ns/op",,,LATIN1
"org.github.arnaudroger.CharAtBenchmark.charAt","avgt",1,200,221.377288,0.071922,"ns/op",,,UTF16_LATIN1_CHAR
"org.github.arnaudroger.CharAtBenchmark.charAt","avgt",1,200,221.442835,0.093318,"ns/op",,,UTF16_UTF16_CHAR
"org.github.arnaudroger.DecodingBenchmark.testDecoding","avgt",1,200,506.172955,5.793032,"ns/op",ISO_8859-1,,LATIN1
"org.github.arnaudroger.DecodingBenchmark.testDecoding","avgt",1,200,506.281025,4.279816,"ns/op",ISO_8859-1,,UTF16_LATIN1_CHAR
"org.github.arnaudroger.DecodingBenchmark.testDecoding","avgt",1,200,529.620268,6.448668,"ns/op",UTF-8,,LATIN1
"org.github.arnaudroger.DecodingBenchmark.testDecoding","avgt",1,200,745.313679,7.849867,"ns/op",UTF-8,,UTF16_LATIN1_CHAR
"org.github.arnaudroger.DecodingBenchmark.testDecoding","avgt",1,200,3184.507128,54.682890,"ns/op",UTF-16,,LATIN1
"org.github.arnaudroger.DecodingBenchmark.testDecoding","avgt",1,200,3090.529776,24.167102,"ns/op",UTF-16,,UTF16_LATIN1_CHAR
"org.github.arnaudroger.EncodingBenchmark.testEncoding","avgt",1,200,139.450084,2.002554,"ns/op",ISO_8859-1,,LATIN1
"org.github.arnaudroger.EncodingBenchmark.testEncoding","avgt",1,200,140.576203,1.489031,"ns/op",ISO_8859-1,,UTF16_LATIN1_CHAR
"org.github.arnaudroger.EncodingBenchmark.testEncoding","avgt",1,200,647.070151,7.535506,"ns/op",UTF-8,,LATIN1
"org.github.arnaudroger.EncodingBenchmark.testEncoding","avgt",1,200,852.451333,7.826128,"ns/op",UTF-8,,UTF16_LATIN1_CHAR
"org.github.arnaudroger.EncodingBenchmark.testEncoding","avgt",1,200,1327.409866,16.194270,"ns/op",UTF-16,,LATIN1
"org.github.arnaudroger.EncodingBenchmark.testEncoding","avgt",1,200,1340.618492,20.005730,"ns/op",UTF-16,,UTF16_LATIN1_CHAR
"org.github.arnaudroger.IndexOfBenchmark.indexOfChar","avgt",1,200,3.929761,0.008526,"ns/op",,1,LATIN1
"org.github.arnaudroger.IndexOfBenchmark.indexOfChar","avgt",1,200,3.944420,0.009372,"ns/op",,1,UTF16_LATIN1_CHAR
"org.github.arnaudroger.IndexOfBenchmark.indexOfChar","avgt",1,200,3.931203,0.013062,"ns/op",,1,UTF16_UTF16_CHAR
"org.github.arnaudroger.IndexOfBenchmark.indexOfChar","avgt",1,200,42.396918,0.852455,"ns/op",,150,LATIN1
"org.github.arnaudroger.IndexOfBenchmark.indexOfChar","avgt",1,200,40.532103,1.064427,"ns/op",,150,UTF16_LATIN1_CHAR
"org.github.arnaudroger.IndexOfBenchmark.indexOfChar","avgt",1,200,40.594470,1.019358,"ns/op",,150,UTF16_UTF16_CHAR
"org.github.arnaudroger.IndexOfBenchmark.indexOfStr","avgt",1,200,7.395815,0.032508,"ns/op",,1,LATIN1
"org.github.arnaudroger.IndexOfBenchmark.indexOfStr","avgt",1,200,7.276468,0.017631,"ns/op",,1,UTF16_LATIN1_CHAR
"org.github.arnaudroger.IndexOfBenchmark.indexOfStr","avgt",1,200,7.538086,0.108728,"ns/op",,1,UTF16_UTF16_CHAR
"org.github.arnaudroger.IndexOfBenchmark.indexOfStr","avgt",1,200,44.548977,0.107326,"ns/op",,150,LATIN1
"org.github.arnaudroger.IndexOfBenchmark.indexOfStr","avgt",1,200,44.502799,0.037216,"ns/op",,150,UTF16_LATIN1_CHAR
"org.github.arnaudroger.IndexOfBenchmark.indexOfStr","avgt",1,200,44.592313,0.212445,"ns/op",,150,UTF16_UTF16_CHAR
"org.github.arnaudroger.Latin1ReaderBenchmark.byteBuffer","avgt",1,200,19200.034413,337.067663,"ns/op",,,
"org.github.arnaudroger.Latin1ReaderBenchmark.reader","avgt",1,200,21774.401673,294.815609,"ns/op",,,
"org.github.arnaudroger.ReaderBenchmark.reader","avgt",1,200,22986.106693,346.825600,"ns/op",UTF-8,,
"org.github.arnaudroger.ReaderBenchmark.reader","avgt",1,200,108600.298036,1408.289693,"ns/op",UTF-16,,
"org.github.arnaudroger.StringBuilderBenchmark.appendLatin1","avgt",1,200,58.701755,0.301939,"ns/op",,,
"org.github.arnaudroger.StringBuilderBenchmark.appendLatin1Str","avgt",1,200,42.663115,0.529639,"ns/op",,,
"org.github.arnaudroger.StringBuilderBenchmark.appendLatin1ThenUtf16","avgt",1,200,59.141291,0.516927,"ns/op",,,
"org.github.arnaudroger.StringBuilderBenchmark.appendLatin1ThenUtf16Str","avgt",1,200,44.203363,0.564458,"ns/op",,,
"org.github.arnaudroger.StringBuilderBenchmark.appendUtf16","avgt",1,200,59.638636,0.609665,"ns/op",,,
"org.github.arnaudroger.StringBuilderBenchmark.appendUtf16Str","avgt",1,200,42.408063,0.341302,"ns/op",,,
